Sr,Words,P.O.S,Level,Nepali Word
1,"a, an","indefinite, article",A1,"एक, एक"
2,abandon,Verb,B2,त्याग्न
3,ability,Noun,A2,क्षमता
4,able,Adjective,A2,सक्षम
5,about,prep. Adverb,A1,बारेमा
6,above,prep. Adverb,A1,माथि
7,abroad,Adverb,A2,विदेश
8,absolute,Adjective,B2,निरपेक्ष
9,absolutely,Adverb,B1,बिल्कुल
10,academic,"adj, Noun","B1, B2",शैक्षिक
11,accept,Verb,A2,स्वीकार
12,acceptable,Adjective,B2,स्वीकार्य
13,access,Noun Verb,B1,पहुँच
14,accident,Noun,A2,दुर्घटना
15,accommodation,Noun,B1,आवास
16,accompany,Verb,B2,साथ दिनु
17,according to,prep.,A2,यस अनुसार
18,account,Noun Verb,"B1, B2",खाता
19,accurate,Adjective,B2,सही
20,accuse,Verb,B2,आरोप
21,achieve,Verb,A2,प्राप्त
22,achievement,Noun,B1,उपलब्धि
23,acknowledge,Verb,B2,स्वीकार
24,acquire,Verb,B2,अधिग्रहण
25,across,prep. Adverb,A1,मार्फत
26,act,Verb Noun,"A2,B1",कार्य
27,action,Noun,A1,कार्य
28,active,Adjective,A2,सक्रिय
29,activity,Noun,A1,गतिविधि
30,actor,Noun,A1,अभिनेता
31,actress,Noun,A1,अभिनेत्री
32,actual,Adjective,B2,वास्तविक
33,actually,Adverb,A2,वास्तवमा
34,ad,Noun,B1,विज्ञापन
35,adapt,Verb,B2,अनुकूल
36,add,Verb,A1,थप
37,addition,Noun,B1,साथै
38,additional,Adjective,B2,थप
39,address,Noun Verb,"A1,B2",ठेगाना
40,administration,Noun,B2,प्रशासन
41,admire,Verb,B1,एडमाएर
42,admit,Verb,B1,स्वीकार
43,adopt,Verb,B2,अपनाउने
44,adult,Noun adj,"A1,A2",वयस्क
45,Advance,Noun Verb adj,B2,अग्रिम
46,Advanced,Adjective,B1,विकसित
47,Advantage,Noun,A2,फाइदा
48,Adventure,Noun,A2,साहसिक
49,Advertise,Verb,A2,विज्ञापन
50,Advertisement,Noun,A2,विज्ञापन
51,Advertising,Noun,A2,विज्ञापन
52,Advice,Noun Verb,"A1, B1",सल्लाह
53,affair,Noun,B2,सम्बन्ध
54,affect,Verb,A2,असर
55,afford,Verb,B1,उठयो
56,afraid,Adjective,A1,डर
57,after,prep. conj. Adverb,"A1,A2",पछि
58,afternoon,Noun,A1,दिउँसो
59,afterwards,Adverb,B2,पछि
60,again,Adverb,A1,फेरि
61,against,prep,A2,विरुद्ध
62,age,Noun Verb,"A1, B1",उमेर
63,aged,Adjective,B1,वृद्ध
64,agency,Noun,B2,एजेन्सी
65,agenda,Noun,B2,एजेन्डा
66,agent,Noun,B1,एजेन्ट
67,aggressive,Adjective,B2,आक्रामक
68,ago,Adverb,A1,पहिले
69,agree,Verb,A1,सहमत
70,agreement,Noun,B1,सम्झौता
71,ah,exclam.,A2,आह
72,ahead,Adverb,B1,अगाडि
73,aid,Noun Verb,B2,सहायता
74,aim,Verb Noun,B1,उद्देश्य
75,air,Noun,A1,हावा
76,aircraft,Noun,B2,विमान
77,airline,Noun,A2,विमान
78,airport,Noun,A1,विमानस्थल
79,alarm,Noun Verb,"B1, B2",अलार्म
80,album,Noun,B1,एल्बम
81,alcohol,Noun,B1,रक्सी
82,alcoholic,Adjective,B1,मादक
83,alive,Adjective,A2,जीवित
84,all,"det. pron, Adverb","A1, A2",सबै
85,all right,"Adjective, Adverb exclam",A2,सबै सही
86,allow,Verb,A2,अनुमति
87,almost,Adverb,A2,लगभग
88,alone,"Adjective, Adverb",A2,एक्लै
89,along,prep. Adverb,A2,साथ
90,already,Adverb,A2,पहिले नै
91,also,Adverb,A1,पनि
92,alter,Verb,B2,Alter
93,alternative,Noun Adjective,"A2, B1",वैकल्पिक
94,although,conj,A2,हुनत
95,always,Adverb,A1,सधैं
96,amazed,Adjective,B1,छक्क
97,amazing,Adjective,A1,अचम्मको
98,ambition,Noun,B1,अभिलाषा
99,ambitious,Adjective,B1,घमन्डी
100,among,prep.,A2,बीचमा
101,amount,Noun Verb,"A2, B2",रकम
102,analyse,Verb,B1,विश्लेषण
103,analysis,Noun,B1,विश्लेषण
104,ancient,Adjective,A2,पुरातन
105,and,conj,A1,र
106,anger,Noun,B2,रिस
107,angle,Noun,B2,कोण
108,angry,Adjective,A1,क्रोधित
109,animal,Noun,A1,पशु
110,ankle,Noun,A2,टखने
111,anniversary,Noun,B2,वार्षिकोत्सव
112,announce,Verb,B1,घोषणा
113,announcement,Noun,B1,घोषणा
114,annoy,Verb,B1,परेशान
115,annoyed,Adjective,B1,नाराज
116,annoying,Adjective,B1,कष्टप्रद
117,annual,Adjective,B2,वार्षिक
118,another,det. proNoun,A1,अर्को
119,answer,Noun Verb,A1,जवाफ
120,anxious,Adjective,B2,चिन्तित
121,any,"det. proNoun, Adverb","A1, A2",कुनै पनि
122,anybody,pron,A2,जो कोहि
123,any more,Adverb,A2,अरु केहि
124,anyone,pron,A1,जो कोहीले
125,anything,pron,A1,केहि
126,anyway,Adverb,A2,जे भए पनि
127,anywhere,AdVerb proNoun,A2,कहीं
128,apart,Adverb,B1,अलग
129,apartment,Noun,A1,घर
130,apologize,Verb,B1,क्षमा चाहन्छौं
131,app,Noun,A2,अनुप्रयोग
132,apparent,Adjective,B2,स्पष्ट
133,apparently,Adverb,B2,स्पष्ट
134,appeal,Noun Verb,B2,पुनरावेदन
135,appear,Verb,A2,देखा
136,appearance,Noun,A2,उपस्थिति
137,apple,Noun,A1,स्याऊ
138,application,Noun,B1,आवेदन
139,apply,Verb,A2,निवेदन गर्नु
140,appointment,Noun,B1,नियुक्ति
141,appreciate,Verb,B1,कदर गर्छौं
142,approach,Noun Verb,B2,दृष्टिकोण
143,appropriate,Adjective,B2,उपयुक्त
144,approval,Noun,B2,अनुमोदन
145,approve,Verb,B2,अनुमोदन
146,approximately,Adverb,B1,लगभग
147,April,Noun,A1,अप्रिल
148,architect,Noun,A2,नक्शा वा रुपरेखा तयार पार्ने व्यक्ति
149,architecture,Noun,A2,वास्तुकला
150,area,Noun,A1,क्षेत्र
151,argue,Verb,A2,तर्क
152,argument,Noun,A2,तर्क
153,arise,Verb,B2,उत्पन्न
154,arm,Noun,A1,आर्म
155,armed,Adjective,B2,सशस्त्र
156,arms,Noun,B2,हतियार
157,army,Noun,A2,सेना
158,around,prep. Adverb,A1,वरिपरि
159,arrange,Verb,A2,व्यवस्था
160,arrangement,Noun,A2,व्यवस्था
161,arrest,Verb Noun,B1,पक्राउ
162,arrival,Noun,B1,आगमन
163,arrive,Verb,A1,आइपुग्छन्
164,art,Noun,A1,कला
165,article,Noun,A1,लेख
166,artificial,Adjective,B2,कृत्रिम
167,artist,Noun,A1,कलाकार
168,artistic,Adjective,B2,कलात्मक
